condicion;Co;replica;medicion_fiass;Ce;Qe;;
DI;9.595;1;1;0.7878;2.009858512;;
DI;9.595;1;2;0.5555;2.071695951;;
DI;9.595;1;3;0.3333;2.169016393;;
DI;115.039;2;4;31.6534;18.90829932;;
DI;115.039;2;5;45.753;15.72775424;;
DI;115.039;2;6;43.1169;16.44810947;;
DI;289.466;3;7;153.722;30.45863874;;
DI;289.466;3;8;144.329;33.15648797;;
DI;289.466;3;9;138.673;34.41191237;;
DI;547.723;4;10;337.441;47.93662614;;
DI;547.723;4;11;392.284;36.36283531;;
DI;547.723;4;12;408.343;32.08071198;;
DI;1054.44;5;13;861.328;44.63985206;;
DI;1054.44;5;14;880.417;39.37765877;;
DI;1054.44;5;15;779.013;63.5992149;;
DI;1621.05;6;16;1325.12;66.61089436;;
DI;1621.05;6;17;1338.25;64.26299046;;
DI;1621.05;6;18;1446.32;40.04507257;;
# DI;2372.49;7;19;1790.73;133.0446714;;174.73
DI;2372.49;7;20;2047.27;73.51265823;;581.76
# DI;2372.49;7;21;1883.65;112.0336134;;325.22
DI;10.3424;1;22;0.7474;2.189639434;;
DI;10.3424;1;23;0.7171;2.205951108;;
DI;10.3424;1;24;0.5252;2.29911007;;
DI;114.433;2;25;34.4208;18.14335601;;
DI;114.433;2;26;47.066;15.29214588;;
DI;114.433;2;27;40.4202;16.92623876;;
DI;256.641;3;28;143.824;25.31421092;;
DI;256.641;3;29;155.035;23.21184892;;
DI;256.641;3;30;147.561;24.89274304;;
DI;559.136;4;31;341.683;49.57135258;;
DI;559.136;4;32;391.375;39.24539925;;
DI;559.136;4;33;373.599;42.70454197;;
DI;1079.69;5;34;865.873;49.42602866;;
DI;1079.69;5;35;847.491;52.54163524;;
DI;1079.69;5;36;804.364;63.57589286;;
DI;1532.17;6;37;1277.65;57.28991597;;
DI;1532.17;6;38;1315.02;49.34479624;;
DI;1532.17;6;39;1379.66;34.9526356;;
# DI;2385.62;7;40;1764.47;142.0529044;;
