condicion/pH;Co;replica;medicion_fiass;Ce;Qe
7.5;27.371;1;1;19.7253;1.752261268
7.5;27.371;1;2;18.7355;1.994034791
7.5;27.371;1;3;19.291;1.892271663
7.5;124.23;2;4;90.4152;7.684017573
7.5;124.23;2;5;93.2634;6.933855799
7.5;124.23;2;6;91.7888;7.474930876
7.5;281.184;3;7;195.738;19.85884723
7.5;281.184;3;8;196.748;19.02568725
7.5;281.184;3;9;196.344;19.38166311
7.5;570.145;4;10;464.802;24.22049356
7.5;570.145;4;11;499.445;15.98101266
7.5;570.145;4;12;484.295;19.84512252
7.5;1128.17;5;13;1005.556;27.95151976
7.5;1128.17;5;14;968.792;36.02576854
7.5;1128.17;5;15;1017.07;25.48944631
7.5;1640.24;6;16;1402.89;53.3131177
7.5;1640.24;6;17;1422.08;49.20902256
7.5;1640.24;6;18;1443.29;44.19222139
7.5;2383.6;7;19;2244.22;31.50542495
7.5;2383.6;7;20;2014.95;84.30782131
7.5;2383.6;7;21;2216.95;37.59022556
7.5;28.1891;1;22;20.3111;1.805500382
7.5;28.1891;1;23;19.291;2.054672106
7.5;28.1891;1;24;19.8667;1.949039813
7.5;127.967;2;25;93.1119;7.920413574
7.5;127.967;2;26;96.051;7.146439767
7.5;127.967;2;27;94.536;7.702995392
7.5;289.668;3;28;201.596;20.46916641
7.5;289.668;3;29;202.707;19.59463722
7.5;289.668;3;30;202.202;19.98157173
7.5;587.214;4;31;478.74;24.940374
7.5;587.214;4;32;514.393;16.46044304
7.5;587.214;4;33;498.738;20.45214979
7.5;1162.51;5;34;1035.25;29.0106383
7.5;1162.51;5;35;997.779;37.23575949
7.5;1162.51;5;36;1048.38;26.18461303
7.5;1688.72;6;37;1445.31;54.67430368
7.5;1688.72;6;38;1464.5;50.57593985
7.5;1688.72;6;39;1486.72;45.32535527
7.5;2455.31;7;40;2311.89;32.41862568
7.5;2455.31;7;41;2075.55;86.84860497
7.5;2455.31;7;42;2283.61;38.72932331
7.5;27.8457;1;43;20.5232;1.678189458
7.5;27.8457;1;44;19.9879;1.814455049
7.5;27.8457;1;45;20.1192;1.809484778
7.5;132.916;2;46;96.6267;8.24631874
7.5;132.916;2;47;97.8993;7.84072996
7.5;132.916;2;48;96.9398;8.289447005
7.5;303;3;49;207.959;22.08885962
7.5;303;3;50;201.192;22.94006309
7.5;303;3;51;211.595;20.88143466
7.5;600.142;4;52;493.082;24.61526671
7.5;600.142;4;53;530.654;15.70705244
7.5;600.142;4;54;507.929;21.3159963
7.5;1203.92;5;55;1089.79;26.0174772
7.5;1203.92;5;56;1029.19;39.49593128
7.5;1203.92;5;57;1060.5;32.90455797
7.5;1645.29;6;58;1391.78;56.94294699
7.5;1645.29;6;59;1456.42;42.60225564
7.5;1645.29;6;60;1496.82;33.31413613
7.5;2758.31;7;61;2269.47;110.4972875
7.5;2758.31;7;62;2106.86;148.9823144
7.5;2758.31;7;63;2468.44;65.38421053
