T[min];Ct[As(V)ppb];Qe[mgAs/gFe];qt[mgAs/gFe]
1;795.88;16.574;327.118
1;827.897;9.724;180.806
1;805.273;14.823;279.197
3;804.061;14.923;287.768
3;809.717;13.720;261.779
3;805.071;14.774;281.871
10;766.893;23.427;446.982
10;734.169;30.231;600.451
10;766.489;23.344;452.085
30;707.404;36.872;705.009
30;727.503;32.321;617.993
30;743.966;28.173;554.888
60;698.718;38.964;740.237
60;711.545;35.706;691.481
60;679.73;42.548;836.264
120;657.106;48.005;927.692
120;699.223;38.560;743.589
120;685.487;42.014;796.482
240;652.965;49.199;940.696
240;663.065;46.515;904.628
240;675.589;44.600;832.855
600;647.612;50.357;964.900
600;600.849;61.065;1165.081
600;595.9;62.588;1178.879
1440;604.889;60.864;1134.122
1440;637.916;52.106;1015.510
1440;614.484;58.036;1104.931
