condicion; t_min; m_mg; v_ml; c0_ppb; ct_ppb
DE;1;3.12;25;1495.81;1377.64
DE;1;3.12;25;1495.81;1386.427
DE;1;3.10;25;1495.81;1401.88
DE;30;3.11;25;1495.81;1404.91
DE;30;3.13;25;1495.81;1383.7
DE;30;3.15;25;1495.81;1393.8
DE;60;3.15;25;1495.81;1416.02
DE;60;3.11;25;1495.81;1400.87
DE;60;3.18;25;1495.81;1385.72
DE;240;3.11;25;1495.81;1333.705
DE;240;3.10;25;1495.81;1373.6
DE;240;3.16;25;1495.81;1366.53
DE;1440;3.16;25;1495.81;1357.44
DE;1440;3.11;25;1495.81;1355.42
DE;1440;3.08;25;1495.81;1355.42
DM;1;3.17;25;805.2;795.88
DM;1;3.08;25;805.2;827.897
DM;1;3.10;25;805.2;805.273
DM;3;3.14;25;805.2;804.061
DM;3;3.12;25;805.2;809.717
DM;3;3.12;25;805.2;805.071
DM;10;3.12;25;805.2;766.893
DM;10;3.18;25;805.2;734.169
DM;10;3.14;25;805.2;766.489
DM;30;3.12;25;805.2;707.404
DM;30;3.12;25;805.2;727.503
DM;30;3.17;25;805.2;743.966
DM;60;3.11;25;805.2;698.718
DM;60;3.14;25;805.2;711.545
DM;60;3.17;25;805.2;679.73
DM;120;3.14;25;805.2;657.106
DM;120;3.14;25;805.2;699.223
DM;120;3.11;25;805.2;685.487
DM;240;3.12;25;805.2;652.965
DM;240;3.15;25;805.2;663.065
DM;240;3.09;25;805.2;675.589
DM;600;3.13;25;805.2;647.612
DM;600;3.12;25;805.2;600.849
DM;600;3.10;25;805.2;595.9
DM;1440;3.08;25;805.2;604.889
DM;1440;3.15;25;805.2;637.916
DM;1440;3.12;25;805.2;614.484
