pH;Co;Ce;Qe;V;m;sigma_Co;sigma_Ce;sigma_V;sigma_m;sigma_Qe
4.5;58.75;9.84;11.10546617;0.04;0.1761655;5.875;0.984;0.0000004;0.001;1.354022525
4.5;175.2;66.2;24.76224553;0.04;0.1760745;17.52;6.62;0.0000004;0.001;4.257109593
4.5;269;119.6;33.73498057;0.04;0.1771455;26.9;11.96;0.0000004;0.001;6.650132271
4.5;606.8;345.3;58.82204083;0.04;0.1778245;60.68;34.53;0.0000004;0.001;15.70813229
4.5;58.75;9.48;11.18720748;0.04;0.1761655;5.875;0.948;0.0000004;0.001;1.352719447
4.5;175.2;57.65;26.70460515;0.04;0.1760745;17.52;5.765;0.0000004;0.001;4.192816219
4.5;269;123.23;32.91531538;0.04;0.1771455;26.9;12.323;0.0000004;0.001;6.68370819
4.5;606.8;329;62.48857722;0.04;0.1778245;60.68;32.9;0.0000004;0.001;15.53055602
4.5;1142;790.6;79.63829618;0.04;0.176498;114.2;79.06;0.0000004;0.001;31.48145766
4.5;51.84;10.02;9.43171759;0.04;0.177359;5.184;1.002;0.0000004;0.001;1.191980401
4.5;157.2;47.75;24.47909241;0.04;0.1788465;15.72;4.775;0.0000004;0.001;3.677031759
4.5;262.6;99.92;36.52149999;0.04;0.1781745;26.26;9.992;0.0000004;0.001;6.311023553
4.5;504.7;276.9;51.54283452;0.04;0.176785;50.47;27.69;0.0000004;0.001;13.02857102
4.5;1055;706.3;79.4882389;0.04;0.1754725;105.5;70.63;0.0000004;0.001;28.94483684
4.5;55.1157;12.8876;9.650284288;0.025;0.109396;5.51157;1.28876;0.00000025;0.001;1.296525059
4.5;163.115;62.1453;23.3288741;0.025;0.1082025;16.3115;6.21453;0.00000025;0.001;4.038761985
4.5;288.456;135.845;35.00123849;0.025;0.109004;28.8456;13.5845;0.00000025;0.001;7.319686219
4.5;402.283;206.242;44.56125436;0.025;0.109984;40.2283;20.6242;0.00000025;0.001;10.28379948
4.5;631.048;361.58;61.18543546;0.025;0.110103;63.1048;36.158;0.00000025;0.001;16.52337327
4.5;813.6;581;52.75318438;0.04;0.1763685;81.36;58.1;0.0000004;0.001;22.67615664
4.5;1142;903.9;53.9609514;0.04;0.176498;114.2;90.39;0.0000004;0.001;33.00878663
4.5;365.3;216.5;33.77969983;0.04;0.1762005;36.53;21.65;0.0000004;0.001;9.641758817
4.5;813.6;580;52.97998225;0.04;0.1763685;81.36;58;0.0000004;0.001;22.6630021
4.5;833.755;588.931;56.05484044;0.025;0.1091895;83.3755;58.8931;0.00000025;0.001;23.3773378
4.5;1054.44;841.835;48.62032218;0.025;0.109319;105.444;84.1835;0.00000025;0.001;30.85946365
7.5;15.4934;1.01;3.266004098;0.025;0.110864833;1.54934;0.101;0.00000025;0.001;0.351354649
7.5;15.4934;1.01;3.250576797;0.025;0.111391;1.54934;0.101;0.00000025;0.001;0.349683405
7.5;15.4934;1.01;3.202907888;0.025;0.113048833;1.54934;0.101;0.00000025;0.001;0.344520451
7.5;125.139;34.7945;19.86143416;0.025;0.1137185;12.5139;3.47945;0.00000025;0.001;2.860769073
7.5;125.139;33.4512;20.0569486;0.025;0.114284333;12.5139;3.34512;0.00000025;0.001;2.838994456
7.5;125.139;36.1782;19.74440809;0.025;0.1126405;12.5139;3.61782;0.00000025;0.001;2.896447045
7.5;311.08;145.642;37.63136106;0.025;0.109907;31.108;14.5642;0.00000025;0.001;7.820595302
7.5;311.08;149.985;36.4885495;0.025;0.110373667;31.108;14.9985;0.00000025;0.001;7.829262615
7.5;311.08;142.511;37.83827262;0.025;0.111374667;31.108;14.2511;0.00000025;0.001;7.688111662
7.5;560.146;363.499;43.32621439;0.025;0.113468833;56.0146;36.3499;0.00000025;0.001;14.71722632
7.5;560.146;392.284;36.43755807;0.025;0.115171;56.0146;39.2284;0.00000025;0.001;14.84759411
7.5;560.146;379.356;39.86449438;0.025;0.113377833;56.0146;37.9356;0.00000025;0.001;14.9214431
7.5;1070.6;870.216;44.09425717;0.025;0.113611167;107.06;87.0216;0.00000025;0.001;30.3617207
7.5;1070.6;887.083;42.14092825;0.025;0.108871;107.06;88.7083;0.00000025;0.001;31.92911938
7.5;1070.6;875.165;42.04627274;0.025;0.116202333;107.06;87.5165;0.00000025;0.001;29.75174
7.5;2257.35;2013.94;53.43094214;0.025;0.11389;225.735;201.394;0.00000025;0.001;66.40692545
7.5;2257.35;1969.5;61.93545888;0.025;0.1161895;225.735;196.95;0.00000025;0.001;64.46062929
7.5;2257.35;1986.67;62.16279112;0.025;0.108859333;225.735;198.667;0.00000025;0.001;69.06104169
7.5;861.631;604.889;59.4769112;0.025;0.107916667;0;0;0;0;0
7.5;861.631;637.916;50.67540018;0.025;0.110366667;0;0;0;0;0
7.5;861.631;614.484;56.64178762;0.025;0.109083333;0;0;0;0;0




